Seed set to 42
 Trace:0.14739137887954712, lambda: 99.14718627929688
 Trace:0.14760041236877441, lambda: 98.2945785522461
 Trace:0.14780983328819275, lambda: 97.44217681884766
 Trace:0.14801962673664093, lambda: 96.5899887084961
 Trace:0.14822985231876373, lambda: 95.73800659179688
 Trace:0.14844045042991638, lambda: 94.88623809814453
 Trace:0.14865145087242126, lambda: 94.03467559814453
 Trace:0.14886285364627838, lambda: 93.1833267211914
 Trace:0.14907464385032654, lambda: 92.33219146728516
 Trace:0.14928685128688812, lambda: 91.48126983642578
 Trace:0.14949944615364075, lambda: 90.63055419921875
 Trace:0.149712473154068, lambda: 89.7800521850586
 Trace:0.14992588758468628, lambda: 88.92976379394531
 Trace:0.1501396894454956, lambda: 88.0796890258789
 Trace:0.15035392343997955, lambda: 87.22982788085938
 Trace:0.15056855976581573, lambda: 86.38018035888672
 Trace:0.15078359842300415, lambda: 85.53074645996094
 Trace:0.1509990394115448, lambda: 84.68153381347656
 Trace:0.15121488273143768, lambda: 83.83253479003906
 Trace:0.15143117308616638, lambda: 82.98374938964844
 Trace:0.15164785087108612, lambda: 82.13517761230469
 Trace:0.1518649160861969, lambda: 81.28682708740234
 Trace:0.1520824283361435, lambda: 80.43869018554688
 Trace:0.15230032801628113, lambda: 79.59077453613281
 Trace:0.15251867473125458, lambda: 78.74307250976562
 Trace:0.15273740887641907, lambda: 77.89559173583984
 Trace:0.15295657515525818, lambda: 77.04833221435547
 Trace:0.15317614376544952, lambda: 76.20128631591797
 Trace:0.1533961445093155, lambda: 75.35446166992188
 Trace:0.15361656248569489, lambda: 74.50785827636719
 Trace:0.1538373976945877, lambda: 73.6614761352539
 Trace:0.15405863523483276, lambda: 72.81531524658203
 Trace:0.15428031980991364, lambda: 71.96937561035156
 Trace:0.15450242161750793, lambda: 71.1236572265625
 Trace:0.15472495555877686, lambda: 70.27816009521484
 Trace:0.1549479067325592, lambda: 69.4328842163086
 Trace:0.1551712602376938, lambda: 68.58782958984375
 Trace:0.15539507567882538, lambda: 67.74300384521484
 Trace:0.155619278550148, lambda: 66.89839935302734
 Trace:0.15584394335746765, lambda: 66.05401611328125
 Trace:0.15606902539730072, lambda: 65.2098617553711
 Trace:0.1562945395708084, lambda: 64.36592864990234
 Trace:0.15652048587799072, lambda: 63.52222442626953
 Trace:0.15674684941768646, lambda: 62.67874526977539
 Trace:0.1569736748933792, lambda: 61.83549118041992
 Trace:0.1572009027004242, lambda: 60.99246597290039
 Trace:0.1574285924434662, lambda: 60.14966583251953
 Trace:0.1576566845178604, lambda: 59.30709457397461
 Trace:0.15788523852825165, lambda: 58.464752197265625
 Trace:0.1581142097711563, lambda: 57.62263870239258
