Seed set to 42
 Trace:0.14928922057151794, lambda: 91.4718246459961
 Trace:0.15143601596355438, lambda: 82.96471405029297
 Trace:0.1536240577697754, lambda: 74.47907257080078
 Trace:0.1558542549610138, lambda: 66.01531219482422
 Trace:0.15812750160694122, lambda: 57.5738525390625
 Trace:0.16044478118419647, lambda: 49.155128479003906
 Trace:0.16280697286128998, lambda: 40.75957489013672
 Trace:0.16521510481834412, lambda: 32.38764572143555
 Trace:0.1676701456308365, lambda: 24.039796829223633
 Trace:0.17017313838005066, lambda: 15.716498374938965
 Trace:0.17272508144378662, lambda: 7.418230056762695
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
