Seed set to 42
Trace: 0.009328568354249, Lambda: 3694.291748046875
Trace: 0.009328952990472317, Lambda: 3694.192626953125
Trace: 0.009329336695373058, Lambda: 3694.093505859375
Trace: 0.009329721331596375, Lambda: 3693.994384765625
Trace: 0.009330106899142265, Lambda: 3693.895263671875
Trace: 0.009330491535365582, Lambda: 3693.796142578125
Trace: 0.009330876171588898, Lambda: 3693.697021484375
Trace: 0.009331261739134789, Lambda: 3693.597900390625
Trace: 0.009331646375358105, Lambda: 3693.498779296875
Trace: 0.009332031011581421, Lambda: 3693.399658203125
Trace: 0.009332414716482162, Lambda: 3693.300537109375
Trace: 0.009332801215350628, Lambda: 3693.201416015625
Trace: 0.009333185851573944, Lambda: 3693.102294921875
Trace: 0.009333569556474686, Lambda: 3693.003173828125
Trace: 0.009333956055343151, Lambda: 3692.904052734375
Trace: 0.009334340691566467, Lambda: 3692.804931640625
Trace: 0.009334725327789783, Lambda: 3692.705810546875
Trace: 0.0093351099640131, Lambda: 3692.606689453125
Trace: 0.009335496462881565, Lambda: 3692.507568359375
Trace: 0.009335880167782307, Lambda: 3692.408447265625
Trace: 0.009336264804005623, Lambda: 3692.309326171875
Trace: 0.009336651302874088, Lambda: 3692.210205078125
Trace: 0.009337035939097404, Lambda: 3692.111083984375
Trace: 0.00933742057532072, Lambda: 3692.011962890625
Trace: 0.009337807074189186, Lambda: 3691.912841796875
Trace: 0.009338191710412502, Lambda: 3691.813720703125
Trace: 0.009338576346635818, Lambda: 3691.714599609375
Trace: 0.009338960982859135, Lambda: 3691.615478515625
Trace: 0.0093393474817276, Lambda: 3691.516357421875
Trace: 0.009339733049273491, Lambda: 3691.417236328125
Trace: 0.009340117685496807, Lambda: 3691.318115234375
Trace: 0.009340504184365273, Lambda: 3691.218994140625
Trace: 0.009340888820588589, Lambda: 3691.119873046875
Trace: 0.00934127438813448, Lambda: 3691.020751953125
Trace: 0.009341659024357796, Lambda: 3690.921630859375
Trace: 0.009342045523226261, Lambda: 3690.822509765625
Trace: 0.009342431090772152, Lambda: 3690.723388671875
Trace: 0.009342815726995468, Lambda: 3690.624267578125
Trace: 0.009343202225863934, Lambda: 3690.525146484375
Trace: 0.009343587793409824, Lambda: 3690.426025390625
Trace: 0.00934397242963314, Lambda: 3690.326904296875
Trace: 0.009344357997179031, Lambda: 3690.227783203125
Trace: 0.009344744496047497, Lambda: 3690.128662109375
Trace: 0.009345130063593388, Lambda: 3690.029541015625
Trace: 0.009345514699816704, Lambda: 3689.930419921875
Trace: 0.00934590119868517, Lambda: 3689.831298828125
Trace: 0.00934628676623106, Lambda: 3689.732177734375
Trace: 0.00934667233377695, Lambda: 3689.633056640625
Trace: 0.009347057901322842, Lambda: 3689.533935546875
Trace: 0.009347445331513882, Lambda: 3689.434814453125
