Seed set to 42
Trace: 0.009328218176960945, Lambda: 3694.3818359375
Trace: 0.009328603744506836, Lambda: 3694.28271484375
Trace: 0.009328988380730152, Lambda: 3694.18359375
Trace: 0.009329372085630894, Lambda: 3694.08447265625
Trace: 0.00932975672185421, Lambda: 3693.9853515625
Trace: 0.0093301422894001, Lambda: 3693.88623046875
Trace: 0.009330526925623417, Lambda: 3693.787109375
Trace: 0.009330910630524158, Lambda: 3693.68798828125
Trace: 0.009331297129392624, Lambda: 3693.5888671875
Trace: 0.009331680834293365, Lambda: 3693.48974609375
Trace: 0.009332065470516682, Lambda: 3693.390625
Trace: 0.009332450106739998, Lambda: 3693.29150390625
Trace: 0.009332835674285889, Lambda: 3693.1923828125
Trace: 0.009333220310509205, Lambda: 3693.09326171875
Trace: 0.009333604946732521, Lambda: 3692.994140625
Trace: 0.009333991445600986, Lambda: 3692.89501953125
Trace: 0.009334376081824303, Lambda: 3692.7958984375
Trace: 0.009334759786725044, Lambda: 3692.69677734375
Trace: 0.00933514442294836, Lambda: 3692.59765625
Trace: 0.009335530921816826, Lambda: 3692.49853515625
Trace: 0.009335915558040142, Lambda: 3692.3994140625
Trace: 0.009336300194263458, Lambda: 3692.30029296875
Trace: 0.009336686693131924, Lambda: 3692.201171875
Trace: 0.00933707132935524, Lambda: 3692.10205078125
Trace: 0.009337455965578556, Lambda: 3692.0029296875
Trace: 0.009337841533124447, Lambda: 3691.90380859375
Trace: 0.009338227100670338, Lambda: 3691.8046875
Trace: 0.009338611736893654, Lambda: 3691.70556640625
Trace: 0.00933899637311697, Lambda: 3691.6064453125
Trace: 0.009339382871985435, Lambda: 3691.50732421875
Trace: 0.009339767508208752, Lambda: 3691.408203125
Trace: 0.009340153075754642, Lambda: 3691.30908203125
Trace: 0.009340539574623108, Lambda: 3691.2099609375
Trace: 0.009340924210846424, Lambda: 3691.11083984375
Trace: 0.009341309778392315, Lambda: 3691.01171875
Trace: 0.009341694414615631, Lambda: 3690.91259765625
Trace: 0.009342080913484097, Lambda: 3690.8134765625
Trace: 0.009342465549707413, Lambda: 3690.71435546875
Trace: 0.009342851117253304, Lambda: 3690.615234375
Trace: 0.009343237616121769, Lambda: 3690.51611328125
Trace: 0.00934362318366766, Lambda: 3690.4169921875
Trace: 0.009344007819890976, Lambda: 3690.31787109375
Trace: 0.009344393387436867, Lambda: 3690.21875
Trace: 0.009344779886305332, Lambda: 3690.11962890625
Trace: 0.009345165453851223, Lambda: 3690.0205078125
Trace: 0.00934555009007454, Lambda: 3689.92138671875
Trace: 0.009345936588943005, Lambda: 3689.822265625
Trace: 0.009346322156488895, Lambda: 3689.72314453125
Trace: 0.009346707724034786, Lambda: 3689.6240234375
Trace: 0.009347093291580677, Lambda: 3689.52490234375
