Seed set to 42
Trace: 1.579692998632254e-08, Lambda: 3694380.5
Trace: 1.5796937091749896e-08, Lambda: 3694379.5
Trace: 1.5796945973534093e-08, Lambda: 3694378.5
Trace: 1.579695307896145e-08, Lambda: 3694377.5
Trace: 1.5796963737102487e-08, Lambda: 3694376.5
Trace: 1.5796972618886684e-08, Lambda: 3694375.5
Trace: 1.5796979724314042e-08, Lambda: 3694374.5
Trace: 1.579699038245508e-08, Lambda: 3694373.5
Trace: 1.5796995711525597e-08, Lambda: 3694372.5
Trace: 1.5797006369666633e-08, Lambda: 3694371.5
Trace: 1.579701525145083e-08, Lambda: 3694370.5
Trace: 1.5797022356878188e-08, Lambda: 3694369.5
Trace: 1.5797033015019224e-08, Lambda: 3694368.5
Trace: 1.5797038344089742e-08, Lambda: 3694367.5
Trace: 1.579704900223078e-08, Lambda: 3694366.5
Trace: 1.5797057884014976e-08, Lambda: 3694365.5
Trace: 1.5797064989442333e-08, Lambda: 3694364.5
Trace: 1.579707564758337e-08, Lambda: 3694363.5
Trace: 1.5797080976653888e-08, Lambda: 3694362.5
Trace: 1.5797091634794924e-08, Lambda: 3694361.5
Trace: 1.579710229293596e-08, Lambda: 3694360.5
Trace: 1.579710762200648e-08, Lambda: 3694359.5
Trace: 1.5797118280147515e-08, Lambda: 3694358.5
Trace: 1.5797125385574873e-08, Lambda: 3694357.5
Trace: 1.579713426735907e-08, Lambda: 3694356.5
Trace: 1.5797141372786427e-08, Lambda: 3694355.5
Trace: 1.5797152030927464e-08, Lambda: 3694354.5
Trace: 1.579716091271166e-08, Lambda: 3694353.5
Trace: 1.579716801813902e-08, Lambda: 3694352.5
Trace: 1.5797176899923215e-08, Lambda: 3694351.5
Trace: 1.5797184005350573e-08, Lambda: 3694350.5
Trace: 1.579719466349161e-08, Lambda: 3694349.5
Trace: 1.5797203545275806e-08, Lambda: 3694348.5
Trace: 1.5797210650703164e-08, Lambda: 3694347.5
Trace: 1.579721953248736e-08, Lambda: 3694346.5
Trace: 1.579722663791472e-08, Lambda: 3694345.5
Trace: 1.5797237296055755e-08, Lambda: 3694344.5
Trace: 1.5797246177839952e-08, Lambda: 3694343.5
Trace: 1.579725328326731e-08, Lambda: 3694342.5
Trace: 1.5797263941408346e-08, Lambda: 3694341.5
Trace: 1.5797269270478864e-08, Lambda: 3694340.5
Trace: 1.57972799286199e-08, Lambda: 3694339.5
Trace: 1.5797288810404098e-08, Lambda: 3694338.5
Trace: 1.5797295915831455e-08, Lambda: 3694337.5
Trace: 1.579730657397249e-08, Lambda: 3694336.5
Trace: 1.579731190304301e-08, Lambda: 3694335.5
Trace: 1.5797322561184046e-08, Lambda: 3694334.5
Trace: 1.5797331442968243e-08, Lambda: 3694333.5
Trace: 1.57973385483956e-08, Lambda: 3694332.5
Trace: 1.5797349206536637e-08, Lambda: 3694331.5
