Seed set to 42
Trace: 0.1719275414943695, Lambda: 9.991719245910645
Trace: 0.17193008959293365, Lambda: 9.983438491821289
Trace: 0.171932652592659, Lambda: 9.975157737731934
Trace: 0.17193520069122314, Lambda: 9.966876983642578
Trace: 0.17193777859210968, Lambda: 9.958596229553223
Trace: 0.17194032669067383, Lambda: 9.950315475463867
Trace: 0.17194288969039917, Lambda: 9.942034721374512
Trace: 0.1719454526901245, Lambda: 9.933753967285156
Trace: 0.17194800078868866, Lambda: 9.9254732131958
Trace: 0.171950563788414, Lambda: 9.917192459106445
Trace: 0.17195311188697815, Lambda: 9.90891170501709
Trace: 0.1719556748867035, Lambda: 9.900630950927734
Trace: 0.17195823788642883, Lambda: 9.892350196838379
Trace: 0.17196080088615417, Lambda: 9.884069442749023
Trace: 0.17196336388587952, Lambda: 9.875788688659668
Trace: 0.17196591198444366, Lambda: 9.867507934570312
Trace: 0.171968474984169, Lambda: 9.859227180480957
Trace: 0.17197103798389435, Lambda: 9.850946426391602
Trace: 0.1719736009836197, Lambda: 9.842665672302246
Trace: 0.17197614908218384, Lambda: 9.834385871887207
Trace: 0.17197871208190918, Lambda: 9.826106071472168
Trace: 0.17198127508163452, Lambda: 9.817826271057129
Trace: 0.17198382318019867, Lambda: 9.80954647064209
Trace: 0.171986386179924, Lambda: 9.80126667022705
Trace: 0.17198894917964935, Lambda: 9.792986869812012
Trace: 0.1719914823770523, Lambda: 9.784707069396973
Trace: 0.17199403047561646, Lambda: 9.776427268981934
Trace: 0.1719965934753418, Lambda: 9.768147468566895
Trace: 0.17199915647506714, Lambda: 9.759867668151855
Trace: 0.17200171947479248, Lambda: 9.751587867736816
Trace: 0.17200428247451782, Lambda: 9.743308067321777
Trace: 0.17200683057308197, Lambda: 9.735028266906738
Trace: 0.1720093935728073, Lambda: 9.7267484664917
Trace: 0.17201195657253265, Lambda: 9.71846866607666
Trace: 0.1720145046710968, Lambda: 9.710188865661621
Trace: 0.17201706767082214, Lambda: 9.701909065246582
Trace: 0.17201963067054749, Lambda: 9.693629264831543
Trace: 0.17202219367027283, Lambda: 9.685349464416504
Trace: 0.17202475666999817, Lambda: 9.677069664001465
Trace: 0.17202730476856232, Lambda: 9.668789863586426
Trace: 0.17202986776828766, Lambda: 9.660510063171387
Trace: 0.172032430768013, Lambda: 9.652230262756348
Trace: 0.17203499376773834, Lambda: 9.643950462341309
Trace: 0.1720375418663025, Lambda: 9.63567066192627
Trace: 0.17204010486602783, Lambda: 9.62739086151123
Trace: 0.17204266786575317, Lambda: 9.619111061096191
Trace: 0.17204523086547852, Lambda: 9.610831260681152
Trace: 0.17204779386520386, Lambda: 9.602551460266113
Trace: 0.1720503568649292, Lambda: 9.594271659851074
Trace: 0.17205290496349335, Lambda: 9.585991859436035
