Seed set to 42
Trace: 0.17218099534511566, Lambda: 9.171924591064453
Trace: 0.17243751883506775, Lambda: 8.34410572052002
Trace: 0.17269453406333923, Lambda: 7.516543388366699
Trace: 0.17295202612876892, Lambda: 6.68923807144165
Trace: 0.1732100397348404, Lambda: 5.862190246582031
Trace: 0.17346855998039246, Lambda: 5.035400390625
Trace: 0.17372755706310272, Lambda: 4.208868980407715
Trace: 0.17398706078529358, Lambda: 3.382596492767334
Trace: 0.17424707114696503, Lambda: 2.5565834045410156
Trace: 0.17450760304927826, Lambda: 1.730830430984497
Trace: 0.1747686266899109, Lambda: 0.9053380489349365
Trace: 0.1750301569700241, Lambda: 0.08010667562484741
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
Trace: 0.1750555783510208, Lambda: 0.0
